Phase;Stage;Match;Team;Continent;OrderTeam;Date;Time;xG;Score;Goals MT;Goals 2MT;Goals XtraTime;Additionnal time HT;Additionnal time FT;Possession;PassesCompleted;PassesTotal;Pass accuracy;Shots;Shots OT;Ycards;Rcards
Group;2;21;Australia;Oceania;A;26/11/2022;11:00;0.6;1;0;1;0;5;6;41%;264;398;66.33%;9;2;0;0
Group;2;22;Poland;Europe;H;26/11/2022;14:00;1.6;2;1;1;0;10;7;37%;349;337;103.56%;9;3;3;0
Group;2;22;Saudi Arabia;Asia;A;26/11/2022;14:00;1.7;0;0;0;0;10;7;63%;483;582;82.99%;15;4;2;0
Group;2;23;France;Europe;H;26/11/2022;17:00;2.4;2;0;2;0;3;6;49%;455;539;84.42%;21;6;1;0
Group;2;23;Denmark;Europe;A;26/11/2022;17:00;0.6;1;0;1;0;3;6;51%;485;572;84.79%;10;2;2;0
Group;2;24;Argentina;America;H;26/11/2022;20:00;0.3;2;0;2;0;5;6;58%;471;568;82.92%;5;2;1;0
Group;2;24;Mexico;America;A;26/11/2022;20:00;0.3;0;0;0;0;5;6;42%;304;409;74.33%;4;1;4;0
Group;2;25;Japan;Asia;H;27/11/2022;11:00;0.9;0;0;0;0;1;6;57%;528;619;85.3%;13;3;3;0
Group;2;25;Costa Rica;America;A;27/11/2022;11:00;0.1;1;0;1;0;1;6;43%;371;473;78.44%;4;1;3;0
Group;2;26;Belgium;Europe;H;27/11/2022;14:00;1.0;0;0;0;0;1;5;67%;602;701;85.88%;10;3;1;0
Group;2;26;Morocco;Africa;A;27/11/2022;14:00;1.5;2;0;2;0;1;5;33%;287;351;81.77%;10;4;1;0
Group;2;27;Croatia;Europe;H;27/11/2022;17:00;2.6;4;2;2;0;5;6;48%;402;498;80.72%;13;10;2;0
Group;2;27;Canada;America;A;27/11/2022;17:00;0.4;1;1;0;0;5;6;52%;435;528;82.39%;8;2;2;0
Group;2;28;Spain;Europe;H;27/11/2022;20:00;0.6;1;0;1;0;2;6;64%;569;670;84.93%;7;3;1;0
